,nw1,nw2,nw3,nw4,nw 4b,nw5,nw6,nw7,nw8,nw8b,nw9,nw10,nw11,nw13,ceh 1,ceh2,ceh3,ceh4,ceh5,ceh6,ceh7,ceh8,ceh9,ceh10,ceh11,ceh13,ceh14,ceh15,ceh16,ceh17,ceh18,ceh19,ceh20,ceh21,ceh22,ceh23,ceh24,ceh25,ceh26,ceh27,ceh28,ceh30,ceh31,Ceh32,ceh33,ceh34,ceh36,ceh37,ceh39,ceh40,ceh41,ceh42,WMC1,WMC2,wmc3,wmc4,L7,D5,D6,D7,D8,D9,D10,D15,D17,D25,D38,D41,T41a,T41b,T41c,T41d,D43,D44,FE1,FE2,FE3,FE4,LIS1,llyn rhos
2006-03-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2006-04-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,missing,missing,missing,measured,measured,missing,missing,missing,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2006-05-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,missing,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2006-06-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,missing,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2006-07-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,missing,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2006-08-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,missing,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2006-09-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,missing,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2006-10-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,missing,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2006-11-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,missing,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2006-12-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,missing,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2007-01-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,missing,missing,missing,measured,measured,measured,measured,measured,measured,interpolated,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2007-02-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,missing,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2007-03-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,missing,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2007-04-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,missing,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2007-05-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2007-06-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2007-07-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2007-08-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2007-09-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2007-10-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2007-11-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2007-12-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2008-01-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,interpolated,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2008-02-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2008-03-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2008-04-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2008-05-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2008-06-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2008-07-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2008-08-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2008-09-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2008-10-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,interpolated,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,interpolated,interpolated,interpolated,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2008-11-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2008-12-01,measured,measured,measured,measured,measured,interpolated,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2009-01-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,interpolated,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2009-02-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2009-03-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2009-04-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,measured,measured,missing,missing,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2009-05-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,measured,measured,missing,missing,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2009-06-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,measured,measured,measured,missing,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2009-07-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,measured,measured,measured,missing,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
2009-08-01,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,interpolated,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,measured,measured,measured,missing,interpolated,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
