well,E,N,cluster,beta1,beta2,beta3,sy,mean_head,winter_head,summer_head,head_swing,mean_depth_bg,winter_depth_bg,summer_depth_bg,P_eff,recharge_m_mon,et_draw_m_mon,drainage_m_mon,lateral_inflow_m_mon,storage_change_mm,dem_elev
nw1,241725.0,364139.0,3.0,1.3669090017644332,5.5998170434436245,0.1383438349761759,0.173,11.352407475373587,11.581746527777778,11.142523809523809,0.4392227182539692,1.280592524626412,1.0512534722222213,1.4904761904761905,0.07445697211155378,0.10177590542340621,0.30684312075684944,1.5705355863553891,1.7756028016888323,75.98553025793667,12.633
nw2,241703.008,364112.082,3.0,1.7195218338684803,4.974298454761458,0.1936939184900408,0.2036,11.920481957244741,12.140155555555555,11.721251984126985,0.4189035714285705,0.14351804275525915,-0.07615555555555531,0.3427480158730152,0.07445697211155378,0.12803038922955326,0.27256770169340366,2.308924860588565,2.4534621730524155,85.28876714285695,12.064
nw3,242091.94,363939.361,2.0,1.2046937621866585,4.518423061478501,0.3233068729447888,0.2539,10.283270611087119,10.506714211245324,10.075472779959778,0.43124143128554593,0.4227293889128809,0.1992857887546755,0.6305272200402214,0.07445697211155378,0.08969784985409483,0.2475879162350599,3.324652064915624,3.482542131296589,109.49219940340012,10.706
nw4,242431.164,363744.512,2.0,1.5538069435064157,3.798096044032725,0.2646482343503263,0.2329,8.980420610970649,9.15019889571949,8.817573672911788,0.33262522280770135,0.24957938902935162,0.07980110428051113,0.4124263270882125,0.07445697211155378,0.1156917602593958,0.2081174499173579,2.3766524584166606,2.4690781480746224,77.46841439191364,9.23
nw4b,242414.677,363751.66,2.0,1.4946469798385946,4.035833362580789,0.2904107338213731,0.2125,9.05527184369308,9.24200432900433,8.87409375,0.3679105790043291,0.28072815630692105,0.09399567099567108,0.4619062500000002,0.07445697211155378,0.11128688849446032,0.22114431493414663,2.629748141078925,2.7396055675186113,78.18099803841993,9.336
nw5,241711.757,363023.697,3.0,1.4329320196623023,3.882078452900556,0.1584767029208028,0.2543,5.116031087238237,5.286598291112298,4.965065866510538,0.32153242460176035,0.608968912761763,0.43840170888770125,0.7599341334894616,0.07445697211155378,0.10669177942574848,0.212719283196153,0.8107717387458457,0.9167992425162503,81.76569557622766,5.725
nw6,241444.307,363316.599,3.0,1.3015127538300189,3.40581651540234,0.1939027021183179,0.2375,6.07478151334015,6.251234709576936,5.918170321480512,0.3330643880964237,0.36621848665985013,0.18976529042306378,0.5228296785194875,0.07445697211155378,0.09690669881475326,0.18662241287594192,1.1779165502150595,1.267632264276248,79.10279217290064,6.441
nw7,241423.695,363584.862,3.0,0.9121396836495876,3.895456842516416,0.1140693557288841,0.2649,7.302190992448348,7.458930686095931,7.162069166314853,0.29686151978107755,1.2018090075516517,1.0450693139040688,1.3419308336851463,0.07445697211155378,0.06791515898733883,0.21345235479270414,0.8329562219178438,0.9784934177232092,78.63861659000746,8.504
nw9,240937.259,363567.162,3.0,1.0907304610889983,3.146050011343358,0.113963737129785,0.2821,4.476593207948842,4.604878767431399,4.35579375,0.24908501743139855,0.7034067920511573,0.575121232568601,0.8242062499999996,0.07445697211155378,0.08121248752252573,0.17238845413136505,0.5101692915876628,0.6013452581965021,70.26688341739754,5.18
nw10,241435.0,364325.025,4.0,1.5317094535108091,4.118611036530953,0.0993855017137576,0.2098,10.844584657141395,10.977100033632873,10.723072144658342,0.2540278889745302,0.9554153428586059,0.8228999663671281,1.0769278553416584,0.05658729880478087,0.08667530052792377,0.22568013451660957,1.0777944870273155,1.2167993210160013,53.295051106856434,11.8
nw11,241689.0,364237.0,3.0,1.9743886245082416,4.938791364211896,0.1561335849987218,0.2025,11.414824921716706,11.622521126760562,11.224733333333333,0.3977877934272289,0.6851750782832937,0.4774788732394377,0.8752666666666666,0.07445697211155378,0.14700699875237916,0.2706220834011097,1.7822375371603831,1.9058526218091134,80.55202816901385,12.1
ceh2,241421.0,363979.0,4.0,0.9392051100783384,4.2219900702896656,0.1212965855529796,0.1818,11.489535468808178,11.604548457512939,11.388026315789471,0.21652214172346795,0.5404645311918213,0.4254515424870604,0.6419736842105284,0.05658729880478087,0.05314708020298004,0.23134480982533073,1.3936414219562847,1.5718391515786354,39.363725365326474,12.03
ceh1,241595.864,363948.335,3.0,2.35882253944819,4.633988915647414,0.118141216942512,0.2323,10.086930812154856,10.298253333333333,9.901104166666666,0.3971491666666669,0.6050691878451442,0.3937466666666669,0.7908958333333338,0.07445697211155378,0.17563078403579835,0.2539203708618835,1.1916822813628956,1.2699718681889807,92.25775141666671,10.692
ceh5,242521.077,364465.817,1.0,2.438035992389969,5.476006117912089,0.2993058392945574,0.1923,9.289179701429246,9.579854814814816,9.02425,0.5556048148148154,0.3488202985707538,0.05814518518518419,0.6137499999999996,0.07445697211155378,0.18152877789234426,0.300058875757565,2.7803057268942464,2.898835824759467,106.842805888889,9.638
ceh6,242621.679,364724.912,1.0,2.445026135880107,5.1392746435374175,0.4306930002285111,0.2115,8.497228881757117,8.77814814814815,8.239062500000003,0.5390856481481467,0.11377111824288377,-0.16714814814814893,0.3719374999999978,0.07445697211155378,0.18204924281124524,0.28160760571559945,3.659697000712329,3.759255363616683,114.01661458333304,8.611
ceh4,241131.693,363211.05,3.0,1.3930336862238644,3.803166631591136,0.1533497056274575,0.243,3.9676244831873255,4.128111111111111,3.8229791666666677,0.30513194444444336,0.5813755168126749,0.4208888888888893,0.7260208333333327,0.07445697211155378,0.10372107032562522,0.2083952938001889,0.6084340465370696,0.7131082700116331,74.14706249999973,4.549
ceh7,243385.803,363612.9,,,,,0.12,5.059323190978142,5.238630907870769,4.910489361702128,0.32814154616864144,0.3896768090218581,0.2103690921292305,0.5385106382978719,0.07445697211155378,,,,,39.37698554023697,5.449
ceh8,243149.932,363382.305,,,,,0.12,5.239967320261438,5.343006128043863,5.149847457627119,0.19315867041674473,0.4540326797385621,0.3509938719561365,0.5441525423728812,0.07445697211155378,,,,,23.179040450009367,5.694
ceh10,242538.185,363173.915,2.0,1.5300050983669986,5.780447214781861,0.1709188719831954,0.2452,4.568747098578966,4.847001481481481,4.321041295438346,0.5259601860431351,1.2492529014210332,0.9709985185185186,1.4969587045616537,0.07445697211155378,0.1139195469396467,0.31674078795673805,0.7808851004656138,0.9837063414827051,128.96543761777673,5.818
ceh9,241711.211,363459.012,3.0,1.28692396854904,3.6887454997664273,0.1390870849701464,0.275,7.269079214554141,7.408849493444128,7.149437499999998,0.2594119934441306,0.7139207854458585,0.5741505065558714,0.833562500000002,0.07445697211155378,0.09582046203594598,0.20212556446845453,1.0110350383694169,1.1173401408019255,71.33829819713591,7.983
ceh25,242512.557,364638.544,1.0,2.660436633523905,6.247569707107605,0.3948060631289575,0.1725,8.695515459465168,9.045156648451732,8.36013394109397,0.6850227073577617,0.38048454053483205,0.03084335154826867,0.7158660589060304,0.07445697211155378,0.19808805622684542,0.3423368605085665,3.433042225428431,3.5772910297101523,118.1664170192139,9.076
ceh26,242172.261,364362.239,1.0,1.814396255108058,4.855882225501869,0.3669842366023445,0.2226,10.08636524003374,10.32081111111111,9.843548387096776,0.47726272401433434,0.36363475996625994,0.1291888888888888,0.6064516129032231,0.07445697211155378,0.13509445136588827,0.2660790601802291,3.7015370477062053,3.832521656520546,106.23868236559082,10.45
ceh11,242618.62,362688.287,1.0,1.8565107717961715,4.901900337298079,0.2687595872555836,0.2232,3.1240052910052905,3.3758792673992675,2.8893125,0.4865667673992675,0.4599947089947096,0.2081207326007326,0.6946875000000001,0.07445697211155378,0.1382301707604267,0.26860063203254864,0.8396063725948412,0.969976833866963,108.60170248351652,3.584
ceh13,240964.108,364066.298,4.0,0.8020896170021077,3.048808636625767,0.0867355687301247,0.2375,10.302120235851305,10.359069744726906,10.26304038637055,0.09602935835635584,1.0228797641486942,0.9659302552730935,1.0619596136294494,0.05658729880478087,0.04538808482551051,0.16706009310571932,0.8935602577826893,1.015232266062898,22.80697260963451,11.325
ceh14,241292.0,364488.0,4.0,0.8818855654909804,3.552396408544636,0.1011273328600071,0.1541,13.305478750377505,13.311493772460986,13.297133333333333,0.01436043912765328,1.114521249622495,1.1085062275390136,1.122866666666667,0.05658729880478087,0.049903522006061254,0.19465428811455304,1.3455475784511772,1.490298344559669,2.2129436695713705,14.42
ceh15,240679.892,363754.368,,,,,0.12,4.907660418943533,4.982005698005698,4.823953488372093,0.15805220963360433,1.0063395810564666,0.931994301994302,1.0900465116279063,0.07445697211155378,,,,,18.96626515603252,5.914
ceh16,240988.214,363614.897,3.0,0.7585340086300985,3.0551445436646336,0.1235109892011409,0.2498,5.350392511177348,5.468577464788733,5.236109589041097,0.23246787574763594,0.816607488822652,0.6984225352112672,0.9308904109589031,0.07445697211155378,0.05647814552623633,0.16740727042839762,0.6608322716698906,0.7717613965720519,58.070475361759456,6.167
ceh18,241267.167,363202.889,3.0,0.9529389802848138,4.009262551630879,0.1779619061532587,0.2599,4.434903804319542,4.602682316118934,4.277781876138434,0.32490043998050044,0.7690961956804578,0.6013176838810654,0.9262181238615659,0.07445697211155378,0.07095295107907888,0.21968836191109986,0.7892439346230442,0.9379793454550652,84.44162435093207,5.204
